L,beta,R,G_standard,G_cluster
128,0.35,36,0.00487744140625,0.0
128,0.35,37,-0.0046640625,0.0
128,0.35,38,-0.012359375,0.0
128,0.35,39,-0.0103505859375,0.0
128,0.35,40,0.00098388671875,0.0
128,0.35,41,-0.00797900390625,0.0
128,0.35,42,-0.003224609375,0.0
128,0.35,43,0.00489892578125,0.0
128,0.35,44,0.0050703125,0.0
128,0.35,45,0.01044482421875,0.0
128,0.35,46,0.01316455078125,0.0
128,0.35,47,0.0067158203125,0.0
128,0.35,48,0.00712890625,0.0
128,0.35,49,0.01811572265625,0.0
128,0.35,50,0.020431640625,0.0
128,0.35,51,0.008646484375,0.0
128,0.35,52,0.0001875,0.0
128,0.35,53,-0.0017333984375,0.0
128,0.35,54,-0.00855810546875,0.0
128,0.35,55,-0.0175908203125,0.0
128,0.35,56,-0.008875,0.0
128,0.35,57,-0.0100244140625,0.0
128,0.35,58,-0.00417919921875,0.0
128,0.35,59,-0.003130859375,0.0
128,0.35,60,-0.0011416015625,0.0
128,0.35,61,0.0046279296875,0.0
128,0.35,62,0.003986328125,0.0
128,0.35,63,0.008482421875,0.0
128,0.35,64,0.0073388671875,0.0
128,0.3,0,1.0,1.0
128,0.3,1,0.3501240234375,0.33240243571296885
128,0.3,2,0.14231689453125,0.1384890904155247
128,0.3,3,0.0660029296875,0.06228931864196663
128,0.3,4,0.03643212890625,0.027993271659198373
128,0.3,5,0.01293994140625,0.013456164280323653
128,0.3,6,-0.002146484375,0.0070379897641332555
128,0.3,7,-0.0125224609375,0.0034666742382518396
128,0.3,8,-0.0161220703125,0.0021747892536114373
128,0.3,9,-0.01744775390625,0.0014543141314496812
128,0.3,10,-0.01154296875,0.0007525676937441643
128,0.3,11,-0.00295849609375,0.0005714285714285714
128,0.3,12,0.0006103515625,0.0004444444444444444
128,0.3,13,-0.00445849609375,0.0003492063492063492
128,0.3,14,-0.00376220703125,0.0002222222222222222
128,0.3,15,-0.00458447265625,0.00012698412698412698
128,0.3,16,-0.0006865234375,6.349206349206349e-05
128,0.3,17,0.0071552734375,3.1746031746031745e-05
128,0.3,18,0.004078125,0.0
128,0.3,19,0.01242236328125,0.0
128,0.3,20,0.022640625,0.0
128,0.3,21,0.0150966796875,0.0
128,0.3,22,0.00791796875,0.0
128,0.3,23,-0.00361181640625,0.0
128,0.3,24,0.00123095703125,0.0
128,0.3,25,-0.0038876953125,0.0
128,0.3,26,-0.01010888671875,0.0
128,0.3,27,-0.0214560546875,0.0
128,0.3,28,-0.0135751953125,0.0
128,0.3,29,-0.00813623046875,0.0
128,0.3,30,0.004796875,0.0
128,0.3,31,7.373046875e-05,0.0
128,0.3,32,-0.000947265625,0.0
128,0.3,33,-0.01006591796875,0.0
128,0.3,34,-0.00673046875,0.0
128,0.3,35,-0.0073515625,0.0
128,0.3,36,-0.005490234375,0.0
128,0.3,37,0.00238818359375,0.0
128,0.3,38,0.0025732421875,0.0
128,0.3,39,0.0150439453125,0.0
128,0.3,40,0.01644140625,0.0
128,0.3,41,-0.00102880859375,0.0
128,0.3,42,-0.005443359375,0.0
128,0.3,43,0.00138134765625,0.0
128,0.3,44,-0.00385107421875,0.0
128,0.3,45,-0.00372705078125,0.0
128,0.3,46,-0.0121611328125,0.0
128,0.3,47,-0.00983251953125,0.0
128,0.3,48,-0.01410791015625,0.0
128,0.3,49,-0.00743115234375,0.0
128,0.3,50,-0.00751123046875,0.0
128,0.3,51,-0.02103076171875,0.0
128,0.3,52,-0.0118837890625,0.0
128,0.3,53,-0.01530078125,0.0
128,0.3,54,-0.00705517578125,0.0
128,0.3,55,-0.0053486328125,0.0
128,0.3,56,-0.0084326171875,0.0
128,0.3,57,-0.00816015625,0.0
128,0.3,58,-0.008330078125,0.0
128,0.3,59,-0.0037568359375,0.0
128,0.3,60,0.00442333984375,0.0
128,0.3,61,0.00744287109375,0.0
128,0.3,62,0.00573876953125,0.0
128,0.3,63,0.014009765625,0.0
128,0.3,64,0.0117724609375,0.0
